Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Türkiye;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
Salon Sayýsý;2000;36;2;1;1;1;59;18;0;2;6;0;12;1;0;0;2;0;0;6;2;42;12;7;0;3;3;0;3;10;7;5;0;1;12;3;1;4;1;1;1;1;4;0;19;6;4;10;1;0;7;7;1;7;7;0;1;2;3;2;3;1;5;2;1;3;8;2;1;0;606;1;1;2;0;7;6;0;3;171;41;1;0
;2001;35;0;1;1;1;69;20;0;2;6;0;11;0;1;0;2;0;0;5;2;24;3;7;3;2;3;0;2;10;6;6;0;1;6;1;0;2;1;2;0;1;4;0;5;3;3;6;1;1;7;8;1;10;7;1;1;2;3;2;3;1;8;1;0;3;6;2;2;0;580;1;1;2;1;5;13;0;0;192;35;3;0
;2002;18;2;1;3;1;77;18;0;1;2;1;8;1;1;0;0;0;0;2;2;5;3;6;2;6;3;0;2;4;5;2;0;1;6;2;0;2;1;1;1;1;4;0;14;4;1;4;1;0;5;0;2;6;2;1;1;2;3;2;3;8;5;1;0;3;4;2;6;0;532;2;0;4;1;1;2;0;1;204;39;3;0
;2003;22;0;3;4;0;124;21;0;1;5;0;11;1;1;1;1;0;0;5;3;31;5;14;2;2;2;0;2;13;16;5;0;1;6;3;0;4;1;1;1;1;3;0;5;9;4;8;1;0;5;2;5;20;14;0;1;5;4;2;6;1;18;0;1;10;13;5;7;0;826;0;0;4;1;5;2;0;3;285;61;3;0
;2004;25;0;1;3;3;106;43;0;2;5;0;13;1;1;1;1;0;0;5;5;24;9;15;1;6;6;1;3;10;14;3;0;0;10;4;0;8;1;1;1;1;2;0;11;21;3;7;1;0;5;9;5;22;9;0;2;5;3;2;3;1;21;0;1;2;12;7;7;0;822;4;4;3;1;5;13;1;10;199;85;3;0
;2005;25;1;5;6;5;121;51;0;2;4;0;13;2;1;0;2;2;0;5;6;38;8;17;3;7;6;2;6;15;10;3;0;0;10;2;0;8;2;2;1;1;8;0;24;22;3;7;2;0;7;10;5;19;19;0;2;5;6;2;5;16;20;0;1;4;14;6;12;0;987;4;4;3;1;4;8;1;12;252;82;5;0
;2006;25;2;5;5;5;134;46;0;2;4;0;13;2;1;0;2;2;2;5;6;41;11;17;3;6;6;2;5;15;18;3;0;1;8;2;0;8;4;2;1;7;9;0;23;15;3;10;1;3;7;9;1;18;19;0;2;6;6;2;6;17;20;0;1;4;16;7;12;1;1045;6;4;3;3;5;8;1;12;283;76;5;0
;2007;25;2;6;11;5;116;52;0;2;16;0;34;3;1;0;2;2;1;5;6;50;15;16;3;16;6;2;7;19;17;9;0;2;11;7;0;8;7;2;1;6;9;0;22;19;3;10;0;3;7;14;0;29;25;0;2;5;10;2;8;16;18;0;1;4;22;7;21;1;1140;7;4;3;3;5;7;1;12;256;86;5;0
;2008;26;2;11;7;6;129;54;0;2;16;0;32;3;6;0;4;2;1;6;7;55;19;14;4;14;5;2;8;34;23;8;0;1;12;7;0;11;6;2;1;6;18;0;29;15;9;10;0;4;7;16;1;32;30;0;2;5;9;2;8;26;31;0;1;4;30;14;19;0;1514;9;5;8;6;7;8;1;12;477;107;6;0
;2009;27;1;11;7;5;146;62;0;1;20;0;21;3;6;0;5;2;3;6;6;54;26;9;4;14;5;2;17;35;33;8;0;2;11;7;0;11;6;3;1;7;18;0;35;23;9;10;0;4;8;16;4;31;31;4;2;5;11;2;9;23;33;1;1;9;24;18;24;0;1647;7;5;10;3;15;6;1;12;525;102;19;0
;2010;26;3;21;4;6;178;62;1;1;24;0;31;3;6;0;4;3;3;7;6;63;26;20;4;14;5;2;17;35;33;8;0;2;19;11;0;17;6;3;1;7;18;0;44;23;10;11;4;4;18;22;4;31;32;3;10;8;20;1;9;18;33;1;1;14;18;16;20;0;1834;7;5;10;3;16;8;1;10;575;110;14;0
;2011;24;3;21;4;6;174;64;1;1;18;0;29;3;6;0;3;3;3;7;6;66;26;20;4;14;8;2;17;21;20;8;0;1;27;9;0;17;6;4;1;7;22;0;37;37;8;9;4;6;18;20;4;39;25;3;9;8;15;2;11;18;33;1;1;21;22;16;33;0;1917;7;5;13;3;17;9;4;10;647;112;14;0
;2012;30;3;21;4;6;166;60;0;3;21;4;27;3;11;0;3;3;3;7;6;65;19;27;4;21;5;2;18;28;19;8;0;1;27;9;0;17;6;2;1;7;27;0;42;49;14;9;4;6;18;28;11;35;37;3;9;8;15;7;9;27;28;1;0;17;28;19;29;1;1998;7;5;13;4;17;9;4;10;665;105;11;0
;2013;31;3;17;5;6;196;66;0;3;23;3;25;3;12;0;4;3;3;0;6;67;19;27;6;17;5;2;18;27;33;7;0;0;29;9;0;25;6;2;1;7;23;0;40;49;15;9;4;6;18;27;10;33;37;3;9;5;20;8;5;27;34;6;0;17;27;16;29;1;2102;12;8;13;4;17;12;4;10;704;105;19;0
;2014;30;4;15;5;6;190;68;0;3;30;5;26;4;12;0;4;3;3;12;7;70;19;37;6;16;5;2;18;27;38;7;0;0;34;11;0;25;6;3;2;7;33;4;43;46;15;10;10;6;18;30;8;33;44;3;9;5;22;8;7;23;26;11;0;17;29;22;29;1;2170;12;9;13;3;14;11;4;10;705;96;21;0
;2015;37;5;17;5;6;212;86;0;3;30;2;32;4;12;0;4;4;3;7;8;75;20;44;6;16;10;2;17;27;38;7;0;0;33;9;0;19;6;6;2;7;35;4;56;51;21;10;10;6;20;29;6;23;39;3;9;5;17;8;10;35;24;11;0;16;29;32;29;1;2356;10;9;13;5;14;16;6;11;778;113;21;0
;2016;38;5;17;5;10;216;86;0;3;37;6;25;4;11;0;6;4;2;15;7;63;27;42;6;22;9;5;23;29;38;12;0;0;33;15;1;19;7;7;2;7;35;4;66;49;14;12;6;6;18;29;12;30;45;3;6;5;16;7;10;34;25;5;0;9;30;24;29;0;2483;17;15;19;6;14;19;6;11;825;135;23;0
;2017;38;3;18;5;10;216;115;0;3;39;5;32;4;11;0;4;4;2;21;4;79;27;49;13;15;9;5;28;30;41;12;2;1;33;9;1;19;13;7;2;8;41;4;73;55;8;11;6;6;20;24;12;38;45;3;13;5;16;7;13;41;25;5;1;17;36;25;29;0;2692;17;15;19;12;26;12;6;19;882;138;30;0
;2018;39;11;18;8;10;227;116;0;5;39;6;53;4;11;1;4;7;2;21;4;90;28;51;13;24;9;5;33;31;38;12;2;1;34;17;1;18;12;7;2;10;41;4;79;46;8;18;6;6;20;49;18;43;45;3;13;5;21;6;15;42;25;5;2;17;37;25;29;1;2858;17;15;13;13;26;12;6;19;901;157;26;0
Seyirci Sayýsý;2000;157500;10200;38661;16800;26747;2944678;336753;0;21600;232546;0;257061;426;0;0;2600;0;0;99000;43859;887986;312105;191300;0;69591;41700;0;8260;677808;73942;28000;0;1200;304246;86438;4800;14500;15000;22580;16900;104720;103000;0;431786;512139;117345;30700;700;0;260000;49082;2700;295544;111832;0;11000;5000;43140;4030;65228;6480;190764;2950;13691;173715;144194;17000;30000;0;17086152;10500;4300;51580;0;111195;121624;0;13700;6024178;1063048;14500;0
;2001;289500;0;44597;2500;18082;3378571;536289;0;17300;57558;0;371956;0;30600;0;4050;0;0;92000;41120;324729;86608;182000;2300;83736;55150;0;78862;440137;170800;27200;0;100;164618;15432;0;16300;8230;26861;0;3000;117310;0;78302;380495;45694;27100;930;13000;215000;63071;900;198350;59800;300;1200;73040;25750;22500;71409;8559;220401;4080;0;116979;140924;70000;146000;0;16905737;1400;7150;42688;43600;100156;278019;0;0;7035962;710482;15000;0
;2002;215000;3200;17445;13100;26451;2714496;548476;0;5100;20744;650;169422;37600;18000;0;0;0;0;93700;22473;136350;148950;162000;2100;35950;40000;0;63000;308875;82725;36750;0;19800;167418;58010;0;28000;1700;66665;800;3000;113125;0;380322;308852;21840;82850;10000;0;131200;0;32600;146990;46000;4200;8500;51900;23000;26000;45651;122500;254541;2000;0;20000;64686;12480;189156;0;15406597;15876;0;34700;0;40000;68993;0;27000;6380515;1439170;34000;0
;2003;579673;0;38000;54898;0;2545293;271676;0;6116;21922;0;197516;37687;2950;1000;9000;0;0;40300;39549;633013;143500;118200;20000;13600;14500;0;84619;437874;30900;23780;0;300;163361;55957;0;60810;5150;58710;2400;5500;42000;0;38365;266000;58041;66475;17000;0;96500;12336;10420;72352;62650;0;25000;21000;57300;26000;52348;24000;204525;0;5389;102066;103384;26600;270680;0;14503052;0;0;57161;1100;84330;18700;0;50000;6034158;855118;24300;0
;2004;851200;0;52325;68406;17680;2890955;735858;0;15510;67556;0;135975;65000;11000;1452;12450;0;0;85000;29490;969406;107113;135221;37000;43638;28970;11000;77360;374066;271953;40000;0;0;313397;78001;0;49522;29913;55840;7300;7000;157184;0;228937;439289;44196;90300;9900;0;119170;27689;24000;276925;128471;0;46585;15850;176965;14000;87321;4093;334693;0;3390;108000;123485;80000;251170;0;18670834;69889;24700;22230;17000;83526;176026;6552;132686;5737684;1746371;186000;0
;2005;749490;12620;58500;107924;21450;2308746;926263;0;11691;62559;0;262506;35000;16185;0;22900;13000;0;99000;35750;891677;200909;308116;35000;74224;93842;19500;98267;265325;184989;45000;0;0;187869;59686;0;51172;13000;25000;11900;1900;234867;0;305063;453625;51813;252000;20029;0;165000;16463;20400;183422;176848;0;42394;38526;148910;11250;63500;362889;269549;0;3500;120000;126399;87000;280387;0;18001466;80857;59300;37300;36000;102000;120916;6482;117004;4909892;1751736;35185;0
;2006;890328;8600;60200;80578;43000;3647310;954949;0;58568;86634;0;396013;30000;25000;0;23142;13000;6814;123000;51000;1104555;277048;358550;53000;23065;77653;6800;60653;388490;185469;58000;0;750;244076;73000;0;125781;36500;52947;8000;72804;205596;0;590297;337428;67744;153538;23352;40000;188321;51163;1700;509056;245556;0;38427;35800;126320;12000;106950;179184;320751;0;10000;120000;176184;70500;428268;1300;23512599;93474;64112;54000;16000;82262;215020;2100;142516;6839127;2205628;53648;0
;2007;341113;12500;54000;33900;17038;2845002;944761;0;12792;176091;0;345125;45700;9415;0;9716;19000;322;84000;44000;1588443;312581;322185;41000;55681;47510;5845;152963;359958;134200;81500;0;2400;193342;122767;0;124825;83969;31933;3650;21600;99876;0;608740;431504;51889;53918;0;40000;151815;102701;0;356179;116709;0;25995;23000;151480;11000;67064;235428;242197;0;1800;90000;108373;38665;408062;1300;20659569;79987;29695;25000;35000;82382;161269;6000;108218;5758346;2219436;55714;0
;2008;880246;17300;131225;56000;38180;3094337;1042985;0;12200;186141;0;409961;72000;159000;0;53931;28000;450;75000;42700;1325103;471853;62445;11100;128056;75900;10000;75500;558093;163334;104368;0;3160;338842;64399;0;172995;102190;45700;1500;34205;479583;0;805919;492673;97632;130900;0;70000;166000;130682;700;544744;310961;0;34049;46500;163441;10000;90450;452083;418911;0;3500;130000;108331;79774;394605;0;31132231;75616;50072;134956;31755;134814;183122;600;127760;11600494;3513752;69453;0
;2009;617750;2500;113431;46575;42000;3484478;962324;0;7000;246588;0;247714;65000;129500;0;29938;25000;15000;84152;39250;1225606;514835;106301;37708;43820;92150;7000;280833;805409;371664;80000;0;5200;280356;33989;0;135152;64094;45960;4320;102987;467607;0;493390;414603;96785;79383;0;13000;230000;108439;6250;569508;306541;10000;38709;49480;147937;15000;98587;575868;455942;9000;3800;125000;221538;140005;571800;0;31334447;293967;13600;122100;264000;189072;119355;4500;82395;11077376;3369226;155100;0
;2010;953800;14235;125671;53640;49740;4428579;1356812;3800;8000;410223;0;320747;60000;181473;0;21955;38000;25872;115000;176412;1468834;624545;323283;34000;181005;86800;8000;366944;641666;426437;71920;0;15300;306023;117093;0;156881;92928;59838;3900;107000;451647;0;653109;601156;79824;43215;95398;50000;285389;186410;16450;552578;291754;16163;62866;63971;157387;3000;102000;304000;478140;15000;1654;295000;231212;175650;670695;0;35787380;61681;35000;244756;56970;284522;172120;9000;110690;12480944;2882493;129180;0
;2011;847310;17387;159470;23000;39500;4424255;975199;1800;6000;369050;0;261284;110000;153250;0;15884;38000;26028;115000;42056;1710913;637735;257050;67972;109476;190000;9100;375818;603488;582915;73000;0;3000;402452;175251;0;184662;66217;38471;17000;121246;660801;0;925158;593933;144123;85512;74115;70000;287487;135364;22000;589168;224294;55100;75084;66020;164009;12000;85230;531958;480328;26500;1111;417100;396960;73552;792416;0;37439786;76491;40000;221818;23120;269649;157035;10780;111130;13435241;2719564;135396;0
;2012;1077880;131900;129382;34919;27382;3802358;1327489;0;32453;416012;16170;405257;75000;133330;0;20628;39000;65000;60978;39250;1655260;471838;419200;36054;189608;121980;9500;404209;740794;567366;25000;0;700;481936;222631;0;154582;88743;32863;7000;101897;614325;0;1064046;1072304;183275;55780;94271;67878;293510;157129;40250;551253;323208;50000;92120;41678;147789;148291;108000;637615;476170;10000;0;255080;239603;138100;721320;3368;39002190;77343;46400;214098;42748;380506;163216;43600;97907;14000678;2677782;106000;0
;2013;1247917;14944;116078;64776;22933;4929341;1535748;0;46908;453505;25094;449444;60000;106300;0;30766;41515;25300;0;49900;2023446;591201;548880;4000;197060;162840;34367;401300;879966;746993;12000;0;0;545898;207892;0;258628;55364;55228;3600;122663;682568;0;1008888;1122820;273286;67590;94395;68000;327537;211678;75856;636406;352050;42000;89627;33953;168690;162063;56416;654470;557183;15000;0;181600;377181;141422;634114;15526;45077509;60043;154054;198542;35030;307681;228019;50000;130319;16251695;3319804;220208;0
;2014;1459378;15854;241278;78082;59010;5582224;1711212;0;51904;605322;32665;669881;65000;136851;0;40460;41500;20400;126747;48237;2492089;865481;596385;198000;207740;210936;17600;444705;1017173;1198320;125500;0;0;621638;252583;0;370430;129385;35000;17483;159270;783018;15000;1392114;1334096;181683;120060;129673;80000;422132;528540;82622;1008462;468166;30000;112919;57367;197585;219857;56245;804910;772946;44871;0;326979;603008;162987;811322;7355;55378716;215807;213700;258404;42200;352894;314137;62000;146332;19085549;3662618;325435;0
;2015;1567552;17732;239045;104598;36016;5988088;2098651;0;32948;665132;35000;725637;65000;236050;0;33840;53000;20300;94909;51670;2382054;820335;699109;246000;286207;267748;15000;374980;986535;1469931;41000;0;0;839395;229548;0;249025;155402;58488;43200;51125;898542;23000;1205846;1323410;531801;64164;171179;66000;466540;532847;80100;708645;531658;86898;136732;61436;224694;211159;123171;891485;767680;101483;0;142376;495182;605047;768763;1100;57148011;165883;166058;228251;71100;326989;227110;99100;166668;19469337;3448945;277382;0
;2016;1330989;52361;300257;88086;75701;5463044;1840716;0;54030;626748;45900;621690;100000;65500;0;42369;55000;18500;200583;52632;2250978;819609;660274;200000;277935;289270;94579;309039;805911;1074158;85139;0;0;745922;214719;14000;432713;110279;55278;109000;102591;819498;26213;1397292;1208095;383942;126166;132105;70000;511236;545081;185791;813760;654967;28134;64732;58000;176672;189396;119953;927387;682529;45000;0;144635;584696;274057;721567;0;55260600;190794;591006;254989;77200;329429;288581;129410;137000;18795438;3621719;268630;0
;2017;1501452;36273;392657;92000;108640;6940217;2424173;0;55052;833872;26500;875009;110000;98035;0;37705;57000;30000;590679;29675;2724640;896955;744251;342812;184441;321414;114635;545701;1132447;1290639;240700;19088;5295;957899;85644;8200;496439;215298;69109;33300;191203;1012201;49682;1912975;1367526;378532;141811;182276;65000;544022;628494;237942;1196902;778197;51185;140620;87320;283283;222596;117520;1114686;862624;33500;1875;266795;804476;338175;781207;0;68482526;324212;346624;415525;108578;478217;345896;146788;294672;22725667;4479193;356683;0
;2018;1510078;142419;344996;110875;89849;6587877;2383717;0;47202;794098;36350;863785;105000;96666;4550;35463;66131;29166;343960;28100;2839012;959992;826320;346499;302171;289804;135970;484536;932971;1333777;131059;49702;7000;905922;215772;9000;445279;95553;74225;23600;186991;1017462;13800;1856630;954044;333557;237489;161592;65000;501539;628838;198121;1179433;856896;44117;217139;103352;277945;196939;137050;1042374;839395;32000;58189;244471;729006;303901;614172;2164;64772380;311247;360690;245300;146295;482746;389264;65623;259211;20509072;4522126;418754;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
