Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
Eser Sayýsý;2000;17;2;0;0;0;146;7;0;0;5;0;0;4;7;0;0;0;0;0;0;18;0;10;0;65;10;0;9;3;0;3;0;0;3;1;0;0;0;0;0;0;0;0;7;5;0;0;0;0;6;0;0;4;2;0;0;0;0;0;0;0;10;0;0;7;0;0;8;0;0;12;2;0;4;0;0;12;302;44;0;0
;2001;20;0;0;0;0;125;17;0;0;4;0;0;6;0;0;0;0;0;0;0;47;0;7;0;9;0;0;4;6;0;3;0;0;1;0;0;0;0;0;0;0;0;0;12;6;0;0;0;0;10;0;0;2;2;0;0;0;6;0;0;0;11;0;0;12;0;0;7;0;0;6;0;0;3;0;0;3;258;43;0;0
;2002;13;0;0;0;0;111;12;0;0;36;0;0;5;0;0;0;0;0;0;0;31;0;5;0;0;1;0;9;6;0;3;0;0;4;2;0;31;0;0;3;0;16;0;0;6;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;13;0;0;11;0;3;21;0;0;5;0;0;2;0;0;5;269;80;0;0
;2003;16;0;0;0;0;106;13;0;0;2;0;0;0;0;0;0;0;0;0;0;22;0;4;0;0;1;0;11;0;0;4;0;0;0;3;0;0;0;0;3;0;20;0;3;15;0;0;0;0;0;0;12;3;2;0;0;0;0;0;0;0;19;0;0;6;0;2;25;0;0;22;0;0;11;0;0;0;509;64;0;0
;2004;56;0;0;0;0;146;13;0;0;5;0;0;0;0;0;0;0;0;0;0;38;0;16;0;0;1;0;6;4;0;2;1;1;3;0;0;0;0;0;2;0;12;0;4;10;0;0;0;0;0;0;0;6;0;7;0;0;9;0;0;0;58;0;8;9;0;1;46;0;0;37;0;0;0;0;0;4;399;63;10;0
;2005;219;0;0;0;0;148;15;0;0;4;0;0;0;0;0;0;0;4;0;0;127;0;7;0;0;0;0;8;5;0;3;2;1;5;0;0;0;0;0;2;0;36;0;81;6;0;0;0;0;0;0;0;13;0;13;0;0;2;0;0;0;7;0;10;9;100;1;8;0;0;21;0;0;0;0;0;12;245;55;8;0
;2006;19;0;0;0;0;124;14;0;0;5;0;0;0;0;0;0;0;7;0;0;48;0;7;0;0;0;0;4;2;0;2;2;5;17;0;0;0;0;0;5;0;0;0;25;7;0;0;0;0;0;0;0;7;0;7;0;0;4;0;0;0;14;0;40;7;0;2;13;0;0;28;0;0;0;0;0;0;90;73;30;0
;2007;37;0;0;0;0;151;55;0;0;3;0;0;0;0;0;0;0;9;0;0;61;0;16;0;0;0;3;8;6;0;3;0;22;3;0;0;0;0;0;120;0;0;0;29;3;6;8;0;0;0;0;0;6;0;8;0;0;4;0;0;0;10;0;2;6;0;2;8;0;0;23;0;0;0;0;0;0;149;80;7;0
;2008;21;0;21;0;0;150;68;0;0;1;0;0;0;3;0;0;0;1;7;7;101;0;9;0;0;0;4;8;20;0;3;0;9;4;0;0;0;0;0;20;0;0;0;24;7;6;7;0;0;0;45;10;7;0;3;0;0;4;3;0;2;14;0;7;5;0;2;4;0;80;11;3;0;0;0;0;11;1269;131;10;0
;2009;35;0;5;0;0;111;17;0;0;0;0;0;0;3;0;0;0;5;10;0;114;0;23;0;0;5;5;10;44;0;4;0;6;5;0;0;3;0;0;4;0;2;0;26;14;6;9;0;0;0;49;0;9;0;0;0;0;4;3;0;2;38;0;14;6;0;0;6;0;20;30;0;0;0;0;0;38;1347;163;22;0
;2010;88;11;2;12;0;130;81;7;0;26;0;0;3;6;0;0;11;11;19;0;77;25;16;12;0;11;5;12;83;17;8;0;3;37;0;2;6;12;0;4;0;26;0;73;21;10;15;8;32;9;43;14;6;33;0;9;9;14;7;0;70;46;4;12;7;0;0;36;3;6;35;20;0;24;0;0;11;1927;419;8;0
;2011;68;13;3;9;0;155;78;7;1;56;1;0;32;11;0;0;28;14;21;4;46;37;13;19;0;56;5;15;76;105;11;2;0;54;4;4;27;15;0;7;10;55;1;72;44;13;12;4;18;111;47;25;24;29;0;8;16;11;7;27;52;89;4;48;21;0;0;24;8;11;6;23;9;75;0;6;71;1748;511;15;0
;2012;110;14;1;16;6;169;107;7;1;102;12;72;20;19;2;0;6;22;6;8;101;50;26;20;0;54;6;12;78;90;19;9;2;34;8;19;20;8;0;4;25;26;10;73;61;11;11;6;22;82;41;7;54;54;2;16;15;27;7;23;38;96;5;41;6;47;3;38;8;12;5;56;6;68;23;6;48;2602;574;12;12
;2013;263;13;4;1;6;351;112;3;2;26;0;45;9;11;0;0;7;18;9;8;94;10;36;4;11;24;0;23;63;18;35;0;3;17;11;9;10;12;1;3;3;27;5;71;77;4;12;7;9;43;34;7;69;34;7;2;2;16;0;10;30;94;3;21;32;2;3;62;5;5;25;11;4;31;18;3;15;3673;458;11;2
;2014;99;5;18;8;3;288;139;10;14;68;8;41;43;10;5;0;17;40;23;10;154;74;23;19;45;58;4;18;89;50;29;5;3;42;16;4;32;16;5;10;7;39;17;107;91;20;40;20;12;60;138;6;77;74;15;10;16;74;19;26;60;75;20;15;25;36;4;65;10;33;17;6;9;69;22;5;27;3077;612;34;8
;2015;76;1;15;9;6;229;94;6;15;82;12;40;26;11;4;0;16;27;28;4;158;43;23;27;30;46;1;14;84;38;34;2;6;90;5;4;35;31;3;9;17;64;13;178;105;8;38;5;18;89;49;11;47;61;3;8;3;55;9;19;94;53;22;18;21;76;7;115;5;25;32;37;7;90;17;18;38;3438;502;20;6
;2016;112;17;16;23;6;268;81;0;20;78;14;59;19;22;5;0;26;25;30;26;133;101;18;22;32;51;0;7;78;55;32;3;6;98;10;6;25;55;5;10;20;142;10;183;92;24;47;24;14;76;45;1;61;55;6;13;11;59;21;43;77;85;2;16;28;71;12;107;7;22;1;21;7;91;39;13;33;3810;775;8;0
;2017;115;31;10;21;13;371;158;3;20;53;6;82;31;1;9;7;13;13;26;7;160;64;28;51;56;19;0;8;103;58;49;2;5;117;17;9;35;35;16;14;47;156;11;311;175;54;59;15;13;88;52;3;88;75;3;23;20;25;20;22;57;72;7;17;11;79;13;75;5;20;14;22;6;110;70;8;41;4579;624;22;0
;2018;143;13;15;33;37;367;180;4;11;72;5;115;28;1;10;1;14;12;39;25;194;89;105;10;51;54;2;15;105;50;43;3;2;126;17;10;28;22;7;9;36;111;8;366;69;81;63;19;39;84;69;6;106;132;20;13;20;67;17;19;81;101;9;26;28;98;19;90;18;37;8;18;8;90;46;23;34;4472;716;39;3
Gösteri Sayýsý;2000;141;6;0;0;0;2027;214;0;0;100;0;0;110;31;0;0;0;0;0;0;347;0;226;0;65;21;0;248;42;0;27;0;0;15;19;0;0;0;0;0;0;0;0;65;85;0;0;0;0;31;0;0;177;3;0;0;0;0;0;0;0;127;0;0;152;0;0;202;0;0;243;40;0;42;0;0;52;5707;650;0;0
;2001;203;0;0;0;0;2016;452;0;0;57;0;0;132;0;0;0;0;0;0;0;604;0;167;0;75;0;0;136;131;0;55;0;0;12;0;0;0;0;0;0;0;0;0;129;133;0;0;0;0;37;0;0;304;2;0;0;0;113;0;0;0;302;0;0;163;0;0;171;0;0;135;0;0;65;0;0;10;3042;608;0;0
;2002;300;0;0;0;0;3105;237;0;0;781;0;0;100;0;0;0;0;0;0;0;392;0;119;0;0;1;0;161;212;0;60;0;0;24;2;0;31;0;0;15;0;52;0;0;146;0;0;0;0;0;0;0;80;4;0;0;0;0;0;0;0;267;0;0;139;0;125;202;0;0;123;0;0;48;0;0;32;2808;705;0;0
;2003;825;0;0;0;0;2583;233;0;0;32;0;0;0;0;0;0;0;0;0;0;354;0;133;0;0;3;0;167;0;0;61;0;0;0;3;0;0;0;0;35;0;30;0;40;178;0;0;0;0;0;0;153;72;4;0;0;0;0;0;0;0;254;0;0;146;0;50;30;0;0;160;0;0;40;0;0;0;6659;1060;0;0
;2004;593;0;0;0;0;2744;279;0;0;81;0;0;0;0;0;0;0;0;0;0;548;0;115;0;0;1;0;162;82;0;74;1;6;20;0;0;0;0;0;34;0;12;0;4;158;0;0;0;0;0;0;0;111;0;12;0;0;192;0;0;0;173;0;30;145;0;42;187;0;0;245;0;0;0;0;0;38;5301;1157;40;0
;2005;845;0;0;0;0;3081;239;0;0;77;0;0;0;0;0;0;0;13;0;0;774;0;208;0;0;0;0;189;101;0;28;2;2;21;0;0;0;0;0;6;0;36;0;178;176;0;0;0;0;0;0;0;441;0;26;0;0;70;0;0;0;143;0;60;144;100;39;170;0;0;173;0;0;0;0;0;110;3178;800;23;0
;2006;657;0;0;0;0;2876;206;0;0;83;0;0;0;0;0;0;0;33;0;0;568;0;175;0;0;0;0;153;88;0;36;3;19;17;0;0;0;0;0;35;0;0;0;257;168;0;0;0;0;0;0;0;263;0;29;0;0;120;0;0;0;347;0;200;142;0;70;184;0;0;188;0;0;0;0;0;0;1827;736;30;0
;2007;630;0;0;0;0;3189;371;0;0;56;0;0;0;0;0;0;0;19;0;0;362;0;269;0;0;0;6;258;89;0;35;0;28;19;0;0;0;0;0;360;0;0;0;287;29;144;114;0;0;0;0;0;47;0;45;0;0;38;0;0;0;171;0;30;150;0;50;161;0;0;191;0;0;0;0;0;0;2190;916;35;0
;2008;1435;0;305;0;0;2841;412;0;0;15;0;0;0;46;0;0;0;9;28;49;636;0;198;0;0;0;8;184;404;0;62;0;12;17;0;0;0;0;0;100;0;0;0;358;151;96;140;0;0;0;250;20;152;0;5;0;0;107;3;0;5;374;0;140;124;0;624;109;0;100;116;150;0;0;0;0;23;6349;925;328;0
;2009;641;0;76;0;0;3009;372;0;0;0;0;0;0;37;0;0;0;54;24;0;651;0;209;0;0;15;10;315;596;0;45;0;30;27;0;0;12;0;0;7;0;13;0;370;267;96;180;0;0;0;150;0;52;0;0;0;0;83;11;0;17;1079;0;100;161;0;0;125;0;20;311;0;0;0;0;0;90;8282;1178;88;0
;2010;883;15;26;16;0;3045;339;14;0;104;0;0;48;92;0;0;11;26;24;0;721;79;239;70;0;50;5;321;636;54;156;0;7;81;0;5;6;12;0;9;0;53;0;447;204;14;232;24;61;13;191;19;65;104;0;18;21;454;44;0;148;804;8;186;154;0;0;305;4;113;245;72;0;35;0;0;12;12200;1950;84;0
;2011;900;16;34;13;0;2975;550;12;1;217;1;0;56;135;0;0;57;226;31;7;816;82;241;73;0;109;21;254;654;106;120;3;0;142;4;6;45;18;0;15;21;164;1;661;249;44;147;4;35;417;178;38;244;39;0;11;30;136;48;59;61;630;6;246;56;0;0;258;32;24;31;60;34;209;0;10;178;9003;1966;91;0
;2012;883;18;22;36;8;2919;592;15;2;222;156;106;31;118;2;0;28;139;8;8;1132;150;405;50;0;106;9;178;500;92;128;10;4;114;10;21;47;14;0;6;51;95;26;393;345;97;76;8;52;329;188;15;128;88;3;17;48;225;7;39;53;599;5;69;43;155;6;327;19;22;41;67;36;165;50;10;120;10454;2172;99;12
;2013;1394;13;23;2;37;4313;578;14;2;94;0;145;13;137;0;0;9;56;15;9;679;23;496;49;16;47;0;238;591;50;118;0;3;123;22;16;12;20;1;8;20;134;10;381;831;77;469;15;12;145;178;10;246;85;21;2;3;54;0;18;37;437;3;40;206;3;3;309;10;17;186;25;27;52;53;3;24;12926;1820;94;7
;2014;554;5;19;9;9;4159;678;39;20;238;8;119;48;125;13;0;55;72;43;32;1296;364;149;54;171;103;8;183;554;273;120;6;3;124;21;4;71;19;5;16;12;76;33;396;501;73;175;28;16;212;284;6;159;109;28;10;31;80;24;42;101;335;25;35;57;46;5;330;20;53;166;6;14;148;29;12;73;12858;2296;175;9
;2015;950;1;42;15;8;3510;619;12;15;429;36;123;42;91;4;0;23;39;67;6;2441;311;296;35;65;82;2;160;444;92;144;3;50;142;10;5;139;32;4;17;40;122;13;672;737;67;121;17;37;214;174;11;148;183;3;28;12;591;10;34;262;263;28;28;65;173;20;322;9;53;248;105;45;172;22;33;98;11140;1331;94;6
;2016;1042;23;50;41;10;4024;619;0;24;303;22;152;45;380;5;0;32;31;50;68;892;347;129;40;56;77;0;121;425;134;104;3;11;194;17;13;46;83;9;17;38;227;11;707;293;32;151;44;23;207;77;6;155;145;8;13;21;147;38;69;134;266;2;20;240;82;18;681;10;61;1;31;28;195;52;21;80;11279;1500;64;0
;2017;1422;33;77;41;13;5047;892;5;32;157;6;261;84;1;16;7;42;25;41;23;1128;132;221;64;56;50;0;121;497;110;176;4;8;217;43;17;83;51;39;27;88;285;15;970;323;65;137;29;24;322;152;3;244;207;4;29;41;289;31;40;91;167;26;27;94;132;15;349;10;62;147;32;132;231;323;10;100;13178;1905;92;0
;2018;1186;22;40;52;63;4365;804;7;16;158;8;226;42;1;22;1;20;35;84;83;1000;661;472;46;77;118;2;191;690;159;122;4;5;286;31;16;52;35;17;18;80;177;24;1438;287;143;180;36;84;234;198;6;360;181;30;34;49;333;23;34;144;218;9;43;162;224;36;405;33;65;733;28;26;204;86;52;100;14176;1794;63;3
Koltuk Sayýsý;2000;1495;350;0;0;0;5321;650;0;0;270;0;0;237;400;0;0;0;0;0;0;1588;0;721;0;412;350;0;494;200;0;200;0;0;300;1000;0;0;0;0;0;0;0;0;535;443;0;0;0;0;300;0;0;120;288;0;0;0;0;0;0;0;861;0;0;387;0;0;550;0;0;928;185;0;120;0;0;600;14962;5639;0;0
;2001;1003;0;0;0;0;4842;1781;0;0;380;0;0;400;0;0;0;0;0;0;0;1917;0;373;0;412;0;0;247;1152;0;200;0;0;300;0;0;0;0;0;0;0;0;0;535;427;0;0;0;0;360;0;0;120;288;0;0;0;215;0;0;0;754;0;0;941;0;0;375;0;0;442;0;0;120;0;0;418;13363;5250;0;0
;2002;1420;0;0;0;0;4456;649;0;0;2926;0;0;263;0;0;0;0;0;0;0;1415;0;373;0;0;350;0;847;380;0;178;0;0;147;1000;0;300;0;0;304;0;301;0;0;427;400;0;0;0;0;0;0;578;288;0;0;0;0;0;0;0;465;0;0;620;0;363;525;0;0;486;0;0;112;0;0;418;12643;7769;0;0
;2003;2378;0;0;0;0;4393;649;0;0;210;0;0;0;0;0;0;0;0;0;0;678;0;373;0;0;350;0;427;0;0;178;0;0;0;1000;0;0;0;0;300;0;300;0;380;777;0;0;0;0;0;0;387;110;288;0;0;0;0;0;0;0;991;0;0;375;0;36;150;0;0;1162;0;0;112;0;0;0;14420;7829;0;0
;2004;1347;0;0;0;0;6917;839;0;0;210;0;0;0;0;0;0;0;0;0;0;2877;0;373;0;0;350;0;247;200;0;178;370;350;147;0;0;0;0;0;311;0;536;0;380;427;0;0;0;0;0;0;0;110;0;550;0;0;209;0;0;0;1203;0;270;344;0;40;525;0;0;1925;0;0;0;0;0;412;11944;2815;350;0
;2005;1327;0;0;0;0;7635;1088;0;0;210;0;0;0;0;0;0;0;425;0;0;5410;0;707;0;0;0;0;247;200;0;178;350;350;280;0;0;0;0;0;311;0;762;0;1220;427;0;0;0;0;0;0;0;260;0;510;0;0;209;0;0;0;1308;0;270;344;271;36;498;0;0;3952;0;0;0;0;0;400;9284;7652;317;0
;2006;1347;0;0;0;0;8249;1977;0;0;430;0;0;0;0;0;0;0;420;0;0;1905;0;709;0;0;0;0;247;200;0;178;370;750;300;0;0;0;0;0;311;0;0;0;820;427;0;0;0;0;0;0;0;220;0;670;0;0;209;0;0;0;733;0;300;344;0;36;470;0;0;3369;0;0;0;0;0;0;10972;1902;310;0
;2007;1319;0;0;0;0;9142;3240;0;0;636;0;0;0;0;0;0;0;461;0;0;2716;0;706;0;0;0;460;655;200;0;178;0;750;612;0;0;0;0;0;311;0;0;0;1410;293;400;660;0;0;0;0;0;200;0;710;0;0;209;0;0;0;930;0;350;344;0;36;460;0;0;3350;0;0;0;0;0;0;8159;3305;300;0
;2008;1409;0;569;0;0;8967;1730;0;0;636;0;0;0;300;0;0;0;210;200;280;3183;0;701;0;0;0;360;655;1147;0;170;0;650;612;0;0;0;0;0;311;0;0;0;1415;293;390;403;0;0;0;2219;470;1100;0;550;0;0;207;1000;0;250;1493;0;300;344;0;200;330;0;351;1408;185;0;0;0;0;350;23281;11970;325;0
;2009;1499;0;660;0;0;7621;908;0;0;0;0;0;0;297;0;0;0;214;200;0;2188;0;701;0;0;3000;500;655;2391;0;170;0;300;270;0;0;480;0;0;311;0;544;0;845;893;390;633;0;0;0;1641;0;1020;0;0;0;0;207;654;0;676;1414;0;550;344;0;0;330;0;351;1699;0;0;0;0;0;418;32448;12352;325;0
;2010;1633;638;300;1068;0;8218;2271;180;0;5025;0;0;120;566;0;0;725;850;1099;0;6911;1977;701;723;0;1077;500;510;3544;1050;418;0;300;1526;0;500;658;1150;0;650;0;2526;0;3866;893;383;1143;342;1978;1276;2091;1106;1020;10850;0;1625;1410;397;994;0;2588;1528;700;650;344;0;0;470;505;801;892;546;0;735;0;0;724;45886;22411;1593;0
;2011;2722;638;300;1488;0;7306;3575;380;445;4745;245;0;247;594;0;0;810;410;891;600;5448;3892;721;735;0;2106;1000;1785;3140;1050;334;376;0;2834;755;360;963;1683;0;650;574;3081;250;3322;2393;1322;150;656;1076;3057;2494;1116;2267;11526;0;1704;1374;1090;1250;820;2365;1440;650;1210;2189;0;0;2295;580;491;412;1099;2415;736;0;306;706;54736;27840;1800;0
;2012;3629;638;305;1033;705;7713;4056;420;445;5421;520;6500;886;812;378;0;1043;955;891;559;9083;3505;1196;705;0;2329;406;1785;4132;897;1219;395;300;2907;500;505;2283;1691;0;300;574;2981;330;3812;2319;1348;337;342;1980;3509;3485;1907;3891;11447;230;2781;830;1224;507;1632;1307;3113;804;1140;2350;610;750;3517;1530;491;412;1119;1955;2400;3059;306;774;55999;29541;795;950
